Station_Name,Latitude,Longitude,Average_SPI,Drought_Frequency
AKKIHEBBAL,12.6028,76.4008,0.17213588053964302,30
AMBARAMPALAYAM,10.6314,76.9461,0.10767763333155374,24
Annavasal,10.975,79.7537,-0.0046558766057118155,25
Avarankuppam,12.6842,78.5394,-0.21877087804808734,31
BILIGUNDULU,12.1822,77.7239,0.24713826039901177,21
Bhavanisagar Dam,11.47,77.1017,0.0936063613930833,34
ELUNUTHIMANGALAM,11.0317,77.8875,-0.11541514125718595,31
Gopurajapuram,10.8514,79.8,-0.03594286268998058,25
Grand Anicut,10.83,78.81,1.4576099615945193,0
Harangi Dam,12.4917,75.9056,0.7588922522614195,0
K.M. VADI,12.3461,76.2878,0.2569079428609187,24
KELLODU,13.75,76.3456,0.18174164277028718,16
KODUMUDI,11.0811,77.8903,0.27091279400435647,32
KUDIGE,12.5025,75.9611,0.24505848676326117,22
KUDLUR,11.8406,77.4628,0.2084289749829323,27
Kabini Dam,11.8417,76.3381,1.0181592381816411,0
M.H. HALLI,12.8189,76.1333,0.2926818550654403,20
MUSIRI,10.935,78.435,0.0742077971099142,33
MUTHANKERA,11.8083,76.0839,0.42309980497956606,17
Mettur Dam,11.8,77.8,0.11197266452092838,29
NALLAMARANPATTY,10.8808,77.9847,0.14872793913683469,32
PERUMANNU,11.9808,75.5778,0.5984978970388166,5
Peralam,10.9663,79.6612,0.15040818863172195,19
Porakudi,10.9039,79.7072,2.6418233841616098e-05,24
SAKLESHPUR,12.9436,75.7936,1.5088405775504157,0
SAVANDAPUR,11.5214,77.51,0.05626510573373498,26
T. BEKKUPE,13.5172,77.4369,0.200655119180654,25
T. NARASIPUR,12.23,76.8917,0.2095552879080676,18
T.K.HALLI,12.4167,77.1925,0.22567501978802487,23
THENGUMARAHADA,11.5728,76.9192,0.2082570825514559,25
THEVUR,11.5272,77.7508,-0.014326013080928965,27
THOPPUR,11.9383,78.0572,-0.03823667989975396,25
Thengudi,10.9167,79.6389,0.11713355147426315,20
URACHIKOTTAI,11.4778,77.7,0.09766985946209633,29
VAIGAI DAM,10.0761,77.6683,0.07264095070022081,31
Vazhavachanur,12.0658,78.9781,0.08875668698661297,17
YENNEHOLE,13.2942,74.9806,0.06206583870148951,21
