Dates,ACTUAL (mm) 
"Jun-2016",7
"Jul-2016",108.8
"Aug-2016",1.6
"Sep-2016",2.8
"Oct-2016",180.6
"Nov-2016",29.52
"Dec-2016",18.2
"Jan-2017",15.4
"Mar-2017",0
"Apr-2017",4
"May-2017",79.2
"Jun-2017",6.3
"Jul-2017",2.6
"Aug-2017",83.8
"Sep-2017",144.2
"Oct-2017",142.8
"Nov-2017",16.4
"Dec-2017",75.2
"Jan-2018",0
"Feb-2018",66
"Mar-2018",26.7
"Apr-2018",19.4
"May-2018",119.2
"Jun-2018",7.8
"Jul-2018",20
"Aug-2018",14.22
"Sep-2018",177.8
"Oct-2018",177.6
"Nov-2018",93.4
"Dec-2018",8
"Jan-2019",2
"Feb-2019",2.2
"Mar-2019",0
"Apr-2019",45.4
"May-2019",137.2
"Jun-2019",1
"Jul-2019",0.4
"Aug-2019",200.6
"Sep-2019",459
"Oct-2019",634
"Nov-2019",395.8
"Dec-2019",172.8
"Jan-2020",0
"Feb-2020",0
"Mar-2020",5.8
"Apr-2020",29
"May-2020",119
"Jun-2020",95.2
"Jul-2020",53.8
"Aug-2020",83.6
"Sep-2020",101
"Oct-2020",86.8
"Nov-2020",126.6
"Dec-2020",58.4
"Jan-2021",131.8
"Feb-2021",0
"Mar-2021",37.2
"Apr-2021",14.6
"May-2021",1064.4
"Jun-2021",48
"Jul-2021",134
"Aug-2021",28.8
"Sep-2021",27.2
"Oct-2021",88.8
"Nov-2021",186
"Dec-2021",74.6
