Dates,ACTUAL (mm) 
"May-2015",250
"Jun-2015",88.4
"Jul-2015",22.4
"Aug-2015",83.6
"Sep-2015",81.8
"Oct-2015",164
"Nov-2015",276.7
"Dec-2015",19.8
"Jan-2016",16.6
"Feb-2016",0
"Mar-2016",28
"Apr-2016",0
"May-2016",141.2
"Jun-2016",183.7
"Jul-2016",425.2
"Aug-2016",282.6
"Sep-2016",78
"Oct-2016",115.2
"Nov-2016",0
"Dec-2016",138
"Jan-2017",8.8
"Feb-2017",0
"Mar-2017",3.8
"Apr-2017",18.6
"May-2017",128.6
"Jun-2017",45
"Jul-2017",3.6
"Aug-2017",268.8
"Sep-2017",185.2
"Oct-2017",149.6
"Nov-2017",9.8
"Dec-2017",87.2
"Jan-2018",0
"Feb-2018",5.8
"Mar-2018",34.2
"Apr-2018",0
"May-2018",102
"Jun-2018",15.4
"Jul-2018",42.8
"Aug-2018",20.8
"Sep-2018",88.6
"Oct-2018",68.6
"Nov-2018",34.4
"Dec-2018",3.6
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0
"Apr-2019",13.6
"May-2019",63.8
"Jun-2019",0
"Jul-2019",52.9
"Aug-2019",192.4
"Sep-2019",29.6
"Oct-2019",29.2
"Nov-2019",5.2
"Dec-2019",2.2
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",0
"May-2020",20.2
"Jun-2020",166.4
"Jul-2020",144.6
"Aug-2020",169.3
"Sep-2020",191
"Oct-2020",144
"Nov-2020",149.4
"Dec-2020",53.7
"Jan-2021",56.6
"Jul-2021",0
"Aug-2021",118.4
"Sep-2021",202.8
"Oct-2021",116
"Nov-2021",329.1
"Dec-2021",5.8
